Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Reporter,Experimental Condition [Growth Condition],Comment [Experimental Description],Assay Name (figure name),Source Name,Comment [Image File Path],Image File Type ,Comment [Image File Type],Comment [Image File],Comment [Imaging],Channels
01 Flower by LSFM,2019-02-25  04bud 2tracks.czi [0],Arabidopsis thaliana,NCBITaxon,3702,"Chromatin HTA10:RFP (561nm), autofluorescence (488nm)",16 h/8 h light/dark regime at 21 °C ,Imaging disected Arabidopsis flowers in different floral and meiotic stages.,Imaging Arabidopsis flower using LSFM.,figure 01,/20191219-disk01/figure 01/anther staging MIP/2019-02-25  04bud 2tracks.czi,czi,raw,0.4mm bud,dual illumination,"561nm L, 488nm L, 561nm R, 488nm R "
01 Flower by LSFM,2019-02-25  04bud 2tracks.czi [1],Arabidopsis thaliana,NCBITaxon,3702,"Chromatin HTA10:RFP (561nm), autofluorescence (488nm)",16 h/8 h light/dark regime at 21 °C ,Imaging disected Arabidopsis flowers in different floral and meiotic stages.,Imaging Arabidopsis flower using LSFM.,figure 01,/20191219-disk01/figure 01/anther staging MIP/2019-02-25  04bud 2tracks.czi,czi,raw,0.4mm bud,dual illumination,"561nm L, 488nm L, 561nm R, 488nm R "
01 Flower by LSFM,2019-02-25 04mm bud lobe in detail 2tracks.czi,Arabidopsis thaliana,NCBITaxon,3702,"Chromatin HTA10:RFP (561nm), autofluorescence (488nm)",16 h/8 h light/dark regime at 21 °C ,Imaging disected Arabidopsis flowers in different floral and meiotic stages.,Imaging Arabidopsis flower using LSFM.,figure 01,/20191219-disk01/figure 01/anther staging MIP/anther detail/2019-02-25 04mm bud lobe in detail 2tracks.czi,czi,raw,0.4mm bud,dual illumination,"561nm L, 488nm L, 561nm R, 488nm R "
01 Flower by LSFM,2019-02-26 03mm bud 2tracks.czi [0],Arabidopsis thaliana,NCBITaxon,3702,"Chromatin HTA10:RFP (561nm), autofluorescence (488nm)",16 h/8 h light/dark regime at 21 °C ,Imaging disected Arabidopsis flowers in different floral and meiotic stages.,Imaging Arabidopsis flower using LSFM.,figure 01,/20191219-disk01/figure 01/anther staging MIP/2019-02-26 03mm bud 2tracks.czi,czi,raw,0.3mm bud,dual illumination,"561nm L, 488nm L, 561nm R, 488nm R "
01 Flower by LSFM,2019-02-26 03mm bud 2tracks.czi [1],Arabidopsis thaliana,NCBITaxon,3702,"Chromatin HTA10:RFP (561nm), autofluorescence (488nm)",16 h/8 h light/dark regime at 21 °C ,Imaging disected Arabidopsis flowers in different floral and meiotic stages.,Imaging Arabidopsis flower using LSFM.,figure 01,/20191219-disk01/figure 01/anther staging MIP/2019-02-26 03mm bud 2tracks.czi,czi,raw,0.3mm bud,dual illumination,"561nm L, 488nm L, 561nm R, 488nm R "
01 Flower by LSFM,2019-02-26 03mm bud lobe in detail.czi,Arabidopsis thaliana,NCBITaxon,3702,"Chromatin HTA10:RFP (561nm), autofluorescence (488nm)",16 h/8 h light/dark regime at 21 °C ,Imaging disected Arabidopsis flowers in different floral and meiotic stages.,Imaging Arabidopsis flower using LSFM.,figure 01,/20191219-disk01/figure 01/anther staging MIP/anther detail/2019-02-26 03mm bud lobe in detail.czi,czi,raw,0.3mm bud,dual illumination,"561nm L, 488nm L, 561nm R, 488nm R "
01 Flower by LSFM,2019-02-26 05 LA in detail.czi,Arabidopsis thaliana,NCBITaxon,3702,"Chromatin HTA10:RFP (561nm), autofluorescence (488nm)",16 h/8 h light/dark regime at 21 °C ,Imaging disected Arabidopsis flowers in different floral and meiotic stages.,Imaging Arabidopsis flower using LSFM.,figure 01,/20191219-disk01/figure 01/anther staging MIP/anther detail/2019-02-26 05 LA in detail.czi,czi,raw,0.5mm bud,dual illumination,"561nm L, 488nm L, 561nm R, 488nm R "
01 Flower by LSFM,2019-02-26 05 SA in detail.czi,Arabidopsis thaliana,NCBITaxon,3702,"Chromatin HTA10:RFP (561nm), autofluorescence (488nm)",16 h/8 h light/dark regime at 21 °C ,Imaging disected Arabidopsis flowers in different floral and meiotic stages.,Imaging Arabidopsis flower using LSFM.,figure 01,/20191219-disk01/figure 01/anther staging MIP/anther detail/2019-02-26 05 SA in detail.czi,czi,raw,0.5mm bud,dual illumination,"561nm L, 488nm L, 561nm R, 488nm R "
01 Flower by LSFM,2019-02-26 05mm bud 2tracks.czi [0],Arabidopsis thaliana,NCBITaxon,3702,"Chromatin HTA10:RFP (561nm), autofluorescence (488nm)",16 h/8 h light/dark regime at 21 °C ,Imaging disected Arabidopsis flowers in different floral and meiotic stages.,Imaging Arabidopsis flower using LSFM.,figure 01,/20191219-disk01/figure 01/anther staging MIP/2019-02-26 05mm bud 2tracks.czi,czi,raw,0.5mm bud,dual illumination,"561nm L, 488nm L, 561nm R, 488nm R "
01 Flower by LSFM,2019-02-26 05mm bud 2tracks.czi [1],Arabidopsis thaliana,NCBITaxon,3702,"Chromatin HTA10:RFP (561nm), autofluorescence (488nm)",16 h/8 h light/dark regime at 21 °C ,Imaging disected Arabidopsis flowers in different floral and meiotic stages.,Imaging Arabidopsis flower using LSFM.,figure 01,/20191219-disk01/figure 01/anther staging MIP/2019-02-26 05mm bud 2tracks.czi,czi,raw,0.5mm bud,dual illumination,"561nm L, 488nm L, 561nm R, 488nm R "
01 Flower by LSFM,2019-03-05 06mm bud 2tracks.czi [0],Arabidopsis thaliana,NCBITaxon,3702,"Chromatin HTA10:RFP (561nm), autofluorescence (488nm)",16 h/8 h light/dark regime at 21 °C ,Imaging disected Arabidopsis flowers in different floral and meiotic stages.,Imaging Arabidopsis flower using LSFM.,figure 01,/20191219-disk01/figure 01/anther staging MIP/2019-03-05 06mm bud 2tracks.czi,czi,raw,0.6mm bud,dual illumination,"561nm L, 488nm L, 561nm R, 488nm R "
01 Flower by LSFM,2019-03-05 06mm bud 2tracks.czi [1],Arabidopsis thaliana,NCBITaxon,3702,"Chromatin HTA10:RFP (561nm), autofluorescence (488nm)",16 h/8 h light/dark regime at 21 °C ,Imaging disected Arabidopsis flowers in different floral and meiotic stages.,Imaging Arabidopsis flower using LSFM.,figure 01,/20191219-disk01/figure 01/anther staging MIP/2019-03-05 06mm bud 2tracks.czi,czi,raw,0.6mm bud,dual illumination,"561nm L, 488nm L, 561nm R, 488nm R "
01 Flower by LSFM,2019-03-05 07mm bud 2tracks.czi [0],Arabidopsis thaliana,NCBITaxon,3702,"Chromatin HTA10:RFP (561nm), autofluorescence (488nm)",16 h/8 h light/dark regime at 21 °C ,Imaging disected Arabidopsis flowers in different floral and meiotic stages.,Imaging Arabidopsis flower using LSFM.,figure 01,/20191219-disk01/figure 01/anther staging MIP/2019-03-05 07mm bud 2tracks.czi,czi,raw,0.7mm bud,dual illumination,"561nm L, 488nm L, 561nm R, 488nm R "
01 Flower by LSFM,2019-03-05 07mm bud 2tracks.czi [1],Arabidopsis thaliana,NCBITaxon,3702,"Chromatin HTA10:RFP (561nm), autofluorescence (488nm)",16 h/8 h light/dark regime at 21 °C ,Imaging disected Arabidopsis flowers in different floral and meiotic stages.,Imaging Arabidopsis flower using LSFM.,figure 01,/20191219-disk01/figure 01/anther staging MIP/2019-03-05 07mm bud 2tracks.czi,czi,raw,0.7mm bud,dual illumination,"561nm L, 488nm L, 561nm R, 488nm R "
